Loan_ID,Loan_Amount,Industry,Credit_Band,Region,Rep_Assigned,Term_Months,Application_Score,Days_To_Fund,Defaulted
443,140668,Retail,Low,West,Rep B,36,335.86,17,1
444,31102,Retail,Low,Midwest,Rep A,72,555.16,1,0
445,206408,Tech,Mid,South,Rep D,36,800.07,8,1
446,143015,Healthcare,Mid,Northeast,Rep C,60,596.29,19,0
447,241386,Legal,High,West,Rep A,36,573.8,6,0
448,51641,Hospitality,High,Northeast,Rep B,72,358.01,3,0
449,190656,Healthcare,High,Midwest,Rep D,24,661.23,5,0
450,188817,Hospitality,High,Northeast,Rep A,36,752.16,13,0
451,179165,Healthcare,Mid,Northeast,Rep C,60,509.23,15,0
452,222177,Tech,Low,West,Rep A,36,726.59,14,0
453,128746,Legal,Mid,South,Rep C,36,830.46,16,0
454,207957,Legal,High,Northeast,Rep B,36,412.07,18,0
455,61631,Construction,Mid,South,Rep D,60,587.83,11,0
456,97991,Hospitality,Low,Midwest,Rep D,72,457.93,3,1
457,29014,Healthcare,Low,Northeast,Rep D,36,736.07,10,0
458,36093,Healthcare,Mid,West,Rep B,36,617.68,10,1
459,43070,Retail,Mid,Midwest,Rep C,24,649.02,16,0
460,60777,Construction,Mid,Midwest,Rep B,60,738.85,12,0
461,81958,Real Estate,High,West,Rep D,36,517.78,2,0
462,107074,Real Estate,Mid,Northeast,Rep B,60,803.3,9,0
463,35729,Retail,Mid,Northeast,Rep B,36,593.17,3,0
464,201089,Retail,Mid,Midwest,Rep B,72,386.88,15,0
465,222392,Retail,Low,Northeast,Rep C,72,682.74,3,0
466,183823,Hospitality,Low,South,Rep A,36,736.29,19,0
467,130864,Hospitality,High,West,Rep A,72,474.22,18,1
468,155858,Tech,High,South,Rep B,36,771.45,8,0
469,234141,Tech,Low,Northeast,Rep A,72,798.38,17,0
470,130510,Retail,Low,Midwest,Rep A,24,452.3,8,0
471,79748,Construction,Low,West,Rep B,24,840.94,7,0
472,30801,Healthcare,Mid,Northeast,Rep B,24,377.39,7,0
473,175262,Hospitality,Mid,Northeast,Rep D,60,411.11,3,1
474,205761,Construction,Low,Midwest,Rep A,60,401.32,1,1
475,207065,Legal,Mid,Midwest,Rep C,24,791.69,4,0
476,54592,Hospitality,Mid,South,Rep B,60,659.86,5,0
477,35647,Hospitality,High,West,Rep D,72,383.66,1,0
478,164788,Tech,Low,West,Rep C,36,542.18,15,1
479,244963,Healthcare,Low,Midwest,Rep A,36,638.41,5,1
480,243617,Healthcare,Mid,South,Rep D,36,345.91,13,0
481,245984,Real Estate,Low,West,Rep B,24,785.33,8,0
482,135627,Real Estate,High,Midwest,Rep C,60,741.98,8,1
483,95316,Real Estate,High,Northeast,Rep B,72,577.86,5,0
484,27368,Real Estate,High,West,Rep A,72,831.92,9,0
485,102575,Legal,Low,South,Rep C,24,529.77,1,0
486,31655,Legal,Low,South,Rep A,72,841.26,4,0
487,95031,Hospitality,Low,South,Rep A,72,667.36,3,1
488,232501,Retail,Low,Northeast,Rep D,72,649.07,2,0
489,247155,Tech,Low,West,Rep B,72,391.28,8,1
490,112922,Tech,High,West,Rep C,60,785.06,9,0
491,211838,Real Estate,Mid,Northeast,Rep A,72,535.12,2,1
492,149046,Hospitality,High,West,Rep A,36,389.23,14,0
493,169475,Construction,Low,Northeast,Rep C,24,306.93,14,1
494,57097,Retail,High,Northeast,Rep A,60,607.87,4,0
495,234729,Hospitality,Low,Northeast,Rep D,72,590.07,6,1
496,167038,Retail,Low,South,Rep D,60,695.64,11,0
497,149862,Retail,High,West,Rep D,72,789.64,3,0
498,143834,Retail,Low,Northeast,Rep D,36,343.67,8,0
499,118848,Hospitality,Mid,West,Rep A,24,702.32,3,0
500,77921,Real Estate,Low,South,Rep C,72,403.08,14,0
